# score_time, perf_time
2.048000000000000043e+01,1.322376417233560062e+02
2.049160997732426281e+01,1.322492517006802757e+02
2.050321995464852520e+01,1.322608616780045452e+02
2.051482993197279114e+01,1.322724716553288147e+02
2.052643990929705353e+01,1.322840816326530557e+02
2.053804988662131592e+01,1.322956916099773252e+02
2.054965986394557831e+01,1.323073015873015947e+02
2.056126984126984070e+01,1.323189115646258642e+02
2.057287981859410309e+01,1.323305215419501053e+02
2.058448979591836903e+01,1.323421315192743748e+02
2.059609977324263141e+01,1.323537414965986443e+02
2.060770975056689380e+01,1.323653514739229138e+02
2.061931972789115619e+01,1.323769614512471549e+02
2.063092970521541858e+01,1.323885714285714243e+02
2.064253968253968452e+01,1.324001814058956938e+02
2.065414965986394691e+01,1.324117913832199633e+02
2.066575963718820930e+01,1.324234013605442328e+02
2.067736961451247168e+01,1.324350113378684739e+02
2.068897959183673407e+01,1.324466213151927434e+02
2.070058956916099646e+01,1.324582312925170129e+02
2.071219954648526240e+01,1.324698412698412824e+02
2.072380952380952479e+01,1.324814512471655235e+02
2.073541950113378718e+01,1.324930612244897929e+02
2.074702947845804957e+01,1.325046712018140624e+02
2.075863945578231196e+01,1.325162811791383319e+02
2.077024943310657790e+01,1.325278911564626014e+02
2.078185941043084028e+01,1.325395011337868425e+02
2.079346938775510267e+01,1.325511111111111120e+02
2.080507936507936506e+01,1.325627210884353815e+02
2.081668934240362745e+01,1.325743310657596510e+02
2.082829931972788984e+01,1.325859410430838921e+02
2.083990929705215578e+01,1.325975510204081615e+02
2.085151927437641817e+01,1.326091609977324310e+02
2.086312925170068056e+01,1.326207709750567005e+02
2.087473922902494294e+01,1.326323809523809416e+02
2.088634920634920533e+01,1.326439909297052111e+02
2.089795918367347127e+01,1.326556009070294806e+02
2.090956916099773366e+01,1.326672108843537501e+02
2.092117913832199605e+01,1.326788208616780196e+02
2.093278911564625844e+01,1.326904308390022607e+02
2.094439909297052083e+01,1.327020408163265301e+02
2.095600907029478677e+01,1.327136507936507996e+02
2.096761904761904916e+01,1.327252607709750691e+02
2.097922902494331154e+01,1.327368707482993102e+02
2.099083900226757393e+01,1.327484807256235797e+02
2.100244897959183632e+01,1.327600907029478492e+02
2.101405895691609871e+01,1.327717006802721187e+02
2.102566893424036465e+01,1.327833106575963882e+02
2.103727891156462704e+01,1.327949206349206293e+02
2.104888888888888943e+01,1.328065306122448987e+02
2.106049886621315181e+01,1.328181405895691682e+02
2.107210884353741420e+01,1.328297505668934377e+02
2.108371882086168014e+01,1.328413605442176788e+02
2.109532879818594253e+01,1.328529705215419483e+02
2.110693877551020492e+01,1.328645804988662178e+02
2.111854875283446731e+01,1.328761904761904873e+02
2.113015873015872970e+01,1.328878004535147284e+02
2.114176870748299208e+01,1.328994104308389979e+02
2.115337868480725803e+01,1.329110204081632673e+02
2.116498866213152041e+01,1.329226303854875368e+02
2.117659863945578280e+01,1.329342403628118063e+02
2.118820861678004519e+01,1.329458503401360474e+02
2.119981859410430758e+01,1.329574603174603169e+02
2.121142857142857352e+01,1.329690702947845864e+02
2.122303854875283591e+01,1.329806802721088559e+02
2.123464852607709830e+01,1.329922902494330970e+02
2.124625850340136068e+01,1.330039002267573665e+02
2.125786848072562307e+01,1.330155102040816359e+02
2.126947845804988546e+01,1.330271201814059054e+02
2.128108843537415140e+01,1.330387301587301749e+02
2.129269841269841379e+01,1.330503401360544160e+02
2.130430839002267618e+01,1.330619501133786855e+02
2.131591836734693857e+01,1.330735600907029550e+02
2.132752834467120095e+01,1.330851700680272245e+02
2.133913832199546690e+01,1.330967800453514656e+02
2.135074829931972928e+01,1.331083900226757351e+02
2.136235827664399167e+01,1.331200000000000045e+02
2.137396825396825406e+01,1.331316099773242740e+02
2.138557823129251645e+01,1.331432199546485151e+02
2.139718820861677884e+01,1.331548299319727846e+02
2.140879818594104478e+01,1.331664399092970541e+02
2.142040816326530717e+01,1.331780498866213236e+02
2.143201814058956955e+01,1.331896598639455931e+02
2.144362811791383194e+01,1.332012698412698342e+02
2.145523809523809433e+01,1.332128798185941037e+02
2.146684807256236027e+01,1.332244897959183731e+02
2.147845804988662266e+01,1.333870294784580608e+02
2.149006802721088505e+01,1.333986394557823019e+02
2.150167800453514744e+01,1.334102494331065714e+02
2.151328798185940983e+01,1.334218594104308409e+02
2.152489795918367221e+01,1.334334693877551103e+02
2.153650793650793815e+01,1.334450793650793798e+02
2.154811791383220054e+01,1.334566893424036209e+02
2.155972789115646293e+01,1.334682993197278904e+02
2.157133786848072532e+01,1.334799092970521599e+02
2.158294784580498771e+01,1.334915192743764294e+02
2.159455782312925365e+01,1.335031292517006705e+02
2.160616780045351604e+01,1.335147392290249400e+02
2.161777777777777843e+01,1.335263492063492095e+02
2.162938775510204081e+01,1.335379591836734789e+02
2.164099773242630320e+01,1.335495691609977484e+02
2.165260770975056559e+01,1.335611791383219895e+02
2.166421768707483153e+01,1.335727891156462590e+02
2.167582766439909392e+01,1.335843990929705285e+02
2.168743764172335631e+01,1.335960090702947980e+02
2.169904761904761870e+01,1.336076190476190391e+02
2.171065759637188108e+01,1.336192290249433086e+02
2.172226757369614702e+01,1.336308390022675781e+02
2.173387755102040941e+01,1.337933786848072657e+02
2.174548752834467180e+01,1.338049886621315352e+02
2.175709750566893419e+01,1.338165986394557763e+02
2.176870748299319658e+01,1.338282086167800458e+02
2.178031746031746252e+01,1.338398185941043153e+02
2.179192743764172491e+01,1.338514285714285847e+02
2.180353741496598730e+01,1.338630385487528258e+02
2.181514739229024968e+01,1.338746485260770953e+02
2.182675736961451207e+01,1.338862585034013648e+02
